SOC_level,SOC,PulseLength(s),Temperature(C),Voltage(V),AvgCurrent_20s,test,True_SOP(W),SHAP_SOC,SHAP_PulseLength(s),SHAP_Temperature(C),SHAP_Voltage(V),SHAP_AvgCurrent_20s,SHAP_test,fold
SOC_100,0.9998703309423075,12.412769230769234,16.405054807692306,4.183234615384615,0.058111134999999994,1.3653846153846154,78.42180769230768,13.853491064525052,2.29049163970527,21.656378019174955,8.98165133426065,4.671155164451897,2.1497986929409003,3.0
SOC_95,0.9499446949692306,12.587153846153846,14.032538153846152,4.065567692307692,0.5551498202923076,1.2923076923076924,78.20555384615385,16.720832284216208,1.9659107903949153,18.241037776056956,10.60914273241548,6.261703579970669,1.6005426621141319,3.0
SOC_90,0.89997196054717,13.700603773584906,14.541602830188678,4.035858490566038,0.6562717559433962,1.3773584905660377,82.12824528301887,17.34626142767841,1.8023132509075244,18.06567251599884,9.146680706795035,6.094583169447987,1.772148865646401,3.0
SOC_80,0.7999843543617021,13.662148936170214,14.643369361702128,3.939172340425532,0.8270484017234042,1.425531914893617,79.39665957446807,14.677502252650378,1.8013588417540436,18.533980768470315,6.8295843128851565,5.869662852627251,1.8713292741086633,3.0
SOC_70,0.7000093433571428,13.14559523809524,14.895851904761905,3.8428714285714283,0.9182311719523809,1.4761904761904763,76.4,11.870547799712044,2.1014487685826793,20.340304977096082,5.043594411807067,4.739885801875434,2.0557143608847843,3.0
SOC_60,0.5999978439074074,16.89146296296296,14.955913148148147,3.7585888888888888,0.7447052934999998,1.3703703703703705,64.07366666666667,7.2879746961729825,2.14255631376501,21.908818589992414,3.107516245531026,3.9275704990437825,1.922169317897789,3.0
SOC_50,0.49999387394,16.962379999999996,14.404563,3.667332,0.8061955987799999,1.4,59.14212,3.8054116653526115,2.3060820498876127,20.58052378043333,1.8683151443074697,3.625965557406359,2.439084269794715,3.0
SOC_40,0.39997381816981137,17.172792452830187,13.71604358490566,3.5884735849056604,0.7564739943773584,1.3773584905660377,51.1377,5.5878164229562195,2.5739361433191963,19.037941766172633,2.821587214609015,3.164781488056044,2.8346030180401143,3.0
SOC_30,0.29984356134482754,17.450862068965517,13.524477068965517,3.515203448275862,0.69691866,1.3448275862068966,39.247637931034475,11.415967409964496,2.3827922814988822,17.763113339695316,6.435200875047015,3.2538521452709603,3.02694911960677,3.0
SOC_20,0.1999914376551724,16.140189655172417,12.71915327586207,3.4234948275862074,0.7184800717068964,1.3448275862068966,26.928767241379305,20.9786529938196,2.4153199276656325,13.88824558331277,12.198884173846665,2.7267934695518763,3.2412736533416218,3.0
SOC_15,0.1499996926153846,16.49816923076923,12.692021846153848,3.376298461538461,0.6131316522307692,1.2923076923076924,18.578351846153847,28.05029111051683,2.3245734347107403,11.372250168071847,14.698636953679234,1.8862809689425897,2.8508055137946613,3.0
SOC_10,0.1000215318372093,14.875093023255811,14.725344418604655,3.267774418604651,0.5841566366976744,1.4186046511627908,14.498703023255816,35.412066548536146,2.2764011335175103,11.79914055399353,17.39855411441784,1.8595395575987923,2.872672008468171,3.0
SOC_5,0.049988575611111113,11.551333333333334,20.68818888888889,3.1164222222222215,0.1962121208888888,1.5,11.605945,37.485151750324206,2.2081365820559893,14.941174843589273,20.52983177436403,2.0578622499919654,2.3644625250112346,3.0
SOC_2,0.01999759457142857,8.85957142857143,19.677971428571425,3.267157142857142,0.0,2.0,15.552785714285717,33.615408154499704,1.1590037674263753,16.706059725112432,17.5333965935036,2.6991679140662748,3.1854982985773495,3.0
